Date,Price,Open,High,Low,Vol.,Change %
14-May-20,11.08,10.98,11.22,10.98,2.01M,-0.89%
13-May-20,11.18,11.04,11.34,11.04,3.89M,-3.79%
12-May-20,11.62,11.6,11.7,11.54,3.08M,0.00%
11-May-20,11.62,11.4,11.66,11.3,2.58M,0.17%
10-May-20,11.6,11.36,11.6,11.28,1.79M,2.29%
7-May-20,11.34,11,11.46,11,1.98M,3.28%
6-May-20,10.98,11.1,11.12,10.92,2.52M,-2.83%
5-May-20,11.3,11.16,11.32,11.08,1.46M,3.10%
4-May-20,10.96,11.18,11.28,10.86,1.49M,-2.32%
3-May-20,11.22,11.5,11.5,11.2,241.54K,-3.28%
30-Apr-20,11.6,11.5,11.64,11.28,1.80M,1.58%
29-Apr-20,11.42,11.48,11.48,11.2,902.10K,0.35%
28-Apr-20,11.38,11,11.38,10.8,2.53M,1.61%
27-Apr-20,11.2,11.66,11.74,11.2,1.57M,-3.45%
26-Apr-20,11.6,11.4,11.68,11.1,1.16M,3.57%
23-Apr-20,11.2,10.94,11.48,10.94,3.08M,2.75%
22-Apr-20,10.9,10.4,11,9.99,4.12M,3.81%
21-Apr-20,10.5,10.54,10.72,10.5,2.15M,-4.89%
20-Apr-20,11.04,11.58,11.58,11.02,2.29M,-4.66%
19-Apr-20,11.58,11.46,11.7,11.22,708.36K,3.95%
16-Apr-20,11.14,11.7,11.7,11.12,4.55M,-4.79%
15-Apr-20,11.7,12.4,12.4,11.64,2.70M,-2.01%
14-Apr-20,11.94,12,12.44,11.54,3.42M,0.00%
13-Apr-20,11.94,12.4,12.68,11.88,1.25M,-4.48%
12-Apr-20,12.5,12.3,13.2,12.3,1.33M,3.31%
9-Apr-20,12.1,11.36,12.1,11.2,2.47M,11.21%
8-Apr-20,10.88,11.2,11.2,10.74,2.38M,-2.86%
7-Apr-20,11.2,10.2,11.32,10.2,2.81M,12.00%
6-Apr-20,10,9.76,10,9.6,2.46M,3.52%
5-Apr-20,9.66,10,10.08,9.5,808.15K,-3.30%
2-Apr-20,9.99,9.71,9.99,9.46,3.21M,2.46%
1-Apr-20,9.75,9.6,9.87,9.4,2.03M,1.04%
31-Mar-20,9.65,9.7,9.88,9.52,4.46M,-2.33%
30-Mar-20,9.88,10.4,10.4,9.88,4.47M,-5.00%
29-Mar-20,10.4,9.4,10.4,9.4,1.34M,6.23%
26-Mar-20,9.79,10.3,10.3,9.79,2.55M,-4.95%
25-Mar-20,10.3,10.02,10.44,9.66,5.78M,8.08%
24-Mar-20,9.53,8.8,9.85,8.8,5.56M,9.54%
23-Mar-20,8.7,8.75,8.95,8.55,5.36M,-3.12%
22-Mar-20,8.98,9.08,9.32,8.95,2.87M,-4.37%
19-Mar-20,9.39,7.9,9.39,7.78,11.27M,14.93%
18-Mar-20,8.17,8.89,8.89,8.09,13.98M,-4.00%
17-Mar-20,8.51,9,9.19,8.51,11.59M,-9.95%
16-Mar-20,9.45,9.5,10.02,9.45,7.91M,-10.00%
15-Mar-20,10.5,11,11,10,4.96M,-3.67%
12-Mar-20,10.9,10.7,11.16,10.7,3.35M,-8.09%
11-Mar-20,11.86,12,12.1,11.84,3.25M,-1.17%
10-Mar-20,12,11.68,12.28,11.68,6.33M,7.14%
9-Mar-20,11.2,11.02,11.24,11.02,6.69M,-8.50%
8-Mar-20,12.24,12.04,12.44,11.84,3.77M,-6.71%
5-Mar-20,13.12,13.26,13.32,13,3.13M,-1.65%
4-Mar-20,13.34,13.4,13.4,13.24,2.38M,-4.99%
3-Mar-20,14.04,14.02,14.32,14.02,4.06M,0.29%
2-Mar-20,14,13.78,14.16,13.78,3.49M,1.74%
1-Mar-20,13.76,14,14,13.6,2.25M,-3.91%
27-Feb-20,14.32,14.16,14.68,14.16,3.76M,1.27%
26-Feb-20,14.14,14.1,14.38,14.1,6.26M,-0.56%
25-Feb-20,14.22,14.14,14.46,14.1,2.18M,0.85%
24-Feb-20,14.1,14.7,14.72,14.1,5.20M,-4.47%
23-Feb-20,14.76,14.8,14.8,14.68,972.43K,0.96%
20-Feb-20,14.62,14.8,14.8,14.62,3.89M,-1.22%
19-Feb-20,14.8,14.82,14.82,14.76,1.52M,0.14%
18-Feb-20,14.78,14.9,14.96,14.78,1.74M,-1.34%
17-Feb-20,14.98,14.98,14.98,14.88,6.16M,0.27%
16-Feb-20,14.94,14.84,14.96,14.8,376.86K,0.95%
13-Feb-20,14.8,14.92,14.92,14.7,2.62M,-0.94%
12-Feb-20,14.94,15.02,15.02,14.94,1.53M,-0.40%
11-Feb-20,15,15.02,15.02,14.9,4.30M,0.00%
10-Feb-20,15,15,15.08,15,2.93M,0.00%
9-Feb-20,15,15.04,15.1,15,499.39K,0.00%
6-Feb-20,15,15,15.08,14.98,4.47M,0.00%
5-Feb-20,15,15.16,15.2,14.96,6.46M,-1.06%
4-Feb-20,15.16,15.06,15.2,15.06,3.88M,0.66%
3-Feb-20,15.06,15.36,15.38,15,3.68M,-1.70%
2-Feb-20,15.32,15.44,15.44,15.32,756.83K,-1.03%
30-Jan-20,15.48,15.52,15.56,15.48,2.83M,-0.26%
29-Jan-20,15.52,15.72,15.72,15.52,1.54M,-0.51%
28-Jan-20,15.6,15.68,15.7,15.54,3.10M,0.26%
27-Jan-20,15.56,15.84,15.84,15.56,1.53M,-1.39%
26-Jan-20,15.78,15.88,15.9,15.78,119.53K,-0.63%
23-Jan-20,15.88,15.76,15.92,15.6,2.07M,0.76%
22-Jan-20,15.76,15.6,15.76,15.6,708.85K,1.42%
21-Jan-20,15.54,15.66,15.74,15.54,1.02M,-1.40%
20-Jan-20,15.76,15.48,15.78,15.46,2.34M,1.16%
19-Jan-20,15.58,15.66,15.66,15.56,675.07K,0.00%
16-Jan-20,15.58,15.44,15.62,15.44,3.12M,0.39%
15-Jan-20,15.52,15.5,15.54,15.4,1.49M,-0.26%
14-Jan-20,15.56,15.34,15.56,15.28,3.11M,1.43%
13-Jan-20,15.34,15.22,15.34,15.2,1.98M,0.66%
12-Jan-20,15.24,15.2,15.26,15.2,218.29K,0.26%
9-Jan-20,15.2,15.16,15.2,15.14,2.05M,1.33%
8-Jan-20,15,15,15.04,14.9,1.62M,-1.06%
7-Jan-20,15.16,15.02,15.16,15.02,1.93M,1.07%
6-Jan-20,15,15.1,15.18,15,2.38M,-0.79%
5-Jan-20,15.12,15.14,15.2,15.04,2.13M,-1.18%
2-Jan-20,15.3,15.2,15.3,15.16,590.92K,0.92%
31-Dec-19,15.16,15.18,15.3,15.16,10.25M,-0.92%
30-Dec-19,15.3,15.14,15.34,15.14,2.50M,0.66%
29-Dec-19,15.2,15.2,15.28,15.18,755.23K,0.40%
26-Dec-19,15.14,15.3,15.3,15.14,724.46K,-1.17%
25-Dec-19,15.32,15.24,15.34,15.24,164.00K,0.52%
24-Dec-19,15.24,15.38,15.4,15.18,1.04M,-1.04%
23-Dec-19,15.4,15.2,15.4,15.2,164.85M,1.45%
22-Dec-19,15.18,15.3,15.3,15.02,896.96K,-0.78%
19-Dec-19,15.3,15.24,15.3,15.2,6.64M,0.26%
18-Dec-19,15.26,15.08,15.26,15.08,326.17M,1.19%
17-Dec-19,15.08,15.12,15.12,15.06,6.20M,-0.13%
16-Dec-19,15.1,15.18,15.2,15.1,2.21M,0.13%
15-Dec-19,15.08,15.16,15.16,15,1.59M,-0.26%
12-Dec-19,15.12,15.16,15.18,15.12,4.38M,-0.40%
11-Dec-19,15.18,15.2,15.2,15.16,6.18M,0.13%
10-Dec-19,15.16,15.2,15.2,15.16,2.52M,-0.26%
9-Dec-19,15.2,15.18,15.2,15.16,2.04M,0.00%
8-Dec-19,15.2,15.2,15.2,15.12,939.69K,0.00%
5-Dec-19,15.2,15.16,15.2,15.12,1.38M,0.00%
4-Dec-19,15.2,15.24,15.3,15.16,7.79M,0.00%
28-Nov-19,15.2,15.2,15.24,15.2,7.45M,0.13%
27-Nov-19,15.18,15.18,15.2,15.16,4.55M,0.13%
26-Nov-19,15.16,15.2,15.22,15.1,14.20M,-0.79%
25-Nov-19,15.28,15.16,15.3,15.14,3.37M,0.66%
24-Nov-19,15.18,15.14,15.18,15.1,3.63M,0.00%
21-Nov-19,15.18,15.36,15.36,15.18,2.15M,-1.04%
20-Nov-19,15.34,15.3,15.34,15.2,1.71M,0.26%
19-Nov-19,15.3,15.14,15.3,15.14,3.49M,0.66%
18-Nov-19,15.2,15.46,15.46,15.16,2.16M,0.00%
17-Nov-19,15.2,15.3,15.34,15.18,1.62M,-2.44%
14-Nov-19,15.58,15.14,15.58,15.12,2.81M,2.91%
13-Nov-19,15.14,15.12,15.2,15.12,7.41M,-0.39%
12-Nov-19,15.2,15.24,15.3,15.14,2.62M,-0.52%
11-Nov-19,15.28,15.34,15.34,15.26,4.99M,-0.13%
10-Nov-19,15.3,15.56,15.56,15.26,2.40M,-0.78%
7-Nov-19,15.42,15.48,15.5,15.42,2.59M,-0.39%
6-Nov-19,15.48,15.48,15.5,15.4,832.57K,0.00%
5-Nov-19,15.48,15.3,15.48,15.28,12.17M,1.18%
4-Nov-19,15.3,15.3,15.32,15.28,1.87M,0.13%
3-Nov-19,15.28,15.4,15.4,15.22,5.39M,0.39%
31-Oct-19,15.22,15.5,15.6,15.22,4.17M,-2.69%
30-Oct-19,15.64,15.3,15.64,15.16,1.80M,3.44%
29-Oct-19,15.12,15.42,15.5,15.12,2.36M,-1.95%
28-Oct-19,15.42,15.5,15.6,15.42,1.43M,-0.52%
27-Oct-19,15.5,15.42,15.6,15.42,274.29K,-0.77%
24-Oct-19,15.62,15.5,15.66,15.5,2.03M,0.77%
23-Oct-19,15.5,15.42,15.5,15.4,2.42M,0.39%
22-Oct-19,15.44,15.32,15.44,15.3,1.89M,0.65%
21-Oct-19,15.34,15.18,15.34,15.18,2.71M,0.26%
20-Oct-19,15.3,15.3,15.3,15.16,2.29M,0.00%
17-Oct-19,15.3,15.18,15.3,15.18,3.60M,0.00%
16-Oct-19,15.3,15.36,15.36,15.28,1.78M,0.13%
15-Oct-19,15.28,15.2,15.32,15.2,792.75K,-0.13%
14-Oct-19,15.3,15.24,15.3,15.24,892.33K,0.39%
13-Oct-19,15.24,15.22,15.28,15.18,639.67K,0.13%
10-Oct-19,15.22,15.12,15.22,15.12,2.01M,0.79%
9-Oct-19,15.1,15.18,15.18,15.1,968.63K,-0.53%
8-Oct-19,15.18,15.16,15.2,15.14,604.67K,-0.39%
7-Oct-19,15.24,15.12,15.24,15.12,1.88M,0.53%
6-Oct-19,15.16,15.18,15.2,15.12,808.67K,0.53%
3-Oct-19,15.08,15.14,15.22,15.08,2.67M,-0.66%
2-Oct-19,15.18,15.06,15.18,15.06,784.86K,0.40%
1-Oct-19,15.12,15.08,15.14,15.06,698.89K,0.53%
30-Sep-19,15.04,15.16,15.22,15.04,1.33M,-1.05%
29-Sep-19,15.2,15.06,15.2,15.06,602.48K,0.53%
26-Sep-19,15.12,15.1,15.18,15.06,1.32M,-0.40%
25-Sep-19,15.18,15.04,15.18,15,2.18M,0.80%
24-Sep-19,15.06,15.08,15.2,15.02,1.34M,0.13%
23-Sep-19,15.04,15.2,15.2,15,2.55M,-1.44%
22-Sep-19,15.26,15.24,15.3,15.2,398.16K,0.00%
19-Sep-19,15.26,15.24,15.26,15.12,8.16M,-0.78%
18-Sep-19,15.38,15.42,15.42,15.32,1.12M,-0.39%
17-Sep-19,15.44,15.22,15.44,15.2,2.08M,0.92%
16-Sep-19,15.3,15.02,15.3,15,4.06M,2.00%
