Date,Price,Open,High,Low,Vol.,Change %
12-Mar-20,2.7,2.75,2.8,2.68,3.97M,-6.25%
11-Mar-20,2.88,2.85,2.9,2.81,426.99K,0.00%
10-Mar-20,2.88,2.72,2.89,2.72,1.52M,10.34%
9-Mar-20,2.61,2.79,2.79,2.61,4.80M,-10.00%
8-Mar-20,2.9,2.9,2.94,2.84,5.29M,-3.33%
5-Mar-20,3,3,3,2.97,2.95M,0.00%
4-Mar-20,3,2.96,3,2.96,2.25M,1.35%
3-Mar-20,2.96,2.98,2.98,2.95,1.32M,0.34%
2-Mar-20,2.95,2.97,2.97,2.95,868.70K,0.00%
1-Mar-20,2.95,2.95,2.95,2.8,3.18M,-1.34%
27-Feb-20,2.99,3,3,2.98,985.46K,-0.33%
26-Feb-20,3,3.02,3.02,2.98,2.07M,-0.99%
25-Feb-20,3.03,3.06,3.06,3.01,77.48K,-0.33%
24-Feb-20,3.04,3.05,3.05,3.02,6.15M,-0.65%
23-Feb-20,3.06,3.05,3.06,3.04,944.00K,0.00%
20-Feb-20,3.06,3.06,3.06,3.05,4.56M,0.33%
19-Feb-20,3.05,3.08,3.08,3.05,17.00M,-0.33%
18-Feb-20,3.06,3.07,3.07,3.06,816.14K,0.00%
17-Feb-20,3.06,3.04,3.1,3.04,2.15M,0.99%
16-Feb-20,3.03,3.04,3.1,3,3.98M,1.00%
13-Feb-20,3,2.97,3.05,2.93,842.66K,1.01%
12-Feb-20,2.97,2.97,3,2.96,1.25M,0.34%
11-Feb-20,2.96,2.94,3,2.9,3.72M,-0.67%
10-Feb-20,2.98,3.06,3.06,2.98,2.29M,-2.61%
9-Feb-20,3.06,3.05,3.1,3.05,842.86K,-0.33%
6-Feb-20,3.07,3.1,3.1,3.07,660.78K,-0.97%
5-Feb-20,3.1,3.06,3.1,3.05,516.75K,1.31%
4-Feb-20,3.06,3.11,3.15,3.06,1.44M,-1.92%
3-Feb-20,3.12,3.12,3.13,3.12,414.07K,0.00%
2-Feb-20,3.12,3.14,3.14,3.1,9.72K,-0.64%
30-Jan-20,3.14,3.17,3.19,3.14,1.86M,0.32%
29-Jan-20,3.13,3.01,3.2,3.01,7.36M,0.00%
28-Jan-20,3.13,3.13,3.13,3.13,134.92K,0.32%
27-Jan-20,3.12,3.15,3.17,3.12,724.43K,-0.95%
26-Jan-20,3.15,3.14,3.15,3.13,844.95K,0.32%
23-Jan-20,3.14,3.14,3.14,3.14,32.00K,-0.32%
22-Jan-20,3.15,3.15,3.15,3.12,2.34M,0.00%
21-Jan-20,3.15,3.14,3.17,3.12,2.46M,0.96%
20-Jan-20,3.12,3.12,3.15,3.12,787.98K,0.00%
19-Jan-20,3.12,3.11,3.15,3.11,979.07K,-0.64%
16-Jan-20,3.14,3.11,3.15,3.11,2.19M,1.29%
15-Jan-20,3.1,3.05,3.1,3.04,5.57M,1.64%
14-Jan-20,3.05,3,3.07,2.98,1.92M,1.67%
13-Jan-20,3,3.05,3.06,2.99,1.88M,-1.32%
