Date,Price,Open,High,Low,Vol.,Change %
8-Dec-19,127,129,129,123,99.22K,0.79%
5-Dec-19,126,123,127,123,806.81K,0.80%
4-Dec-19,125,125,126,122,471.02K,0.81%
3-Dec-19,124,122,126,117,1.95M,2.48%
2-Dec-19,121,128,128,120,2.57M,-5.47%
1-Dec-19,128,129,129,123,148.00K,4.92%
28-Nov-19,122,125,128,117,394.34K,0.83%
27-Nov-19,121,129,129,121,2.32M,-5.47%
26-Nov-19,128,130,130,128,275.77K,-1.54%
25-Nov-19,130,135,135,129,641.59K,-2.99%
24-Nov-19,134,134,135,132,452.99K,0.00%
21-Nov-19,134,130,134,130,744.70K,0.75%
20-Nov-19,133,133,134,130,1.18M,2.31%
19-Nov-19,130,129,132,128,1.77M,-1.52%
18-Nov-19,132,134,136,129,3.81M,-1.49%
17-Nov-19,134,125,138,125,3.51M,4.69%
14-Nov-19,128,128,128,125,512.12K,0.00%
13-Nov-19,128,124,130,122,1.03M,2.40%
12-Nov-19,125,130,130,125,636.70K,-1.57%
11-Nov-19,127,131,133,127,1.37M,-3.05%
10-Nov-19,131,136,136,130,792.01K,-2.96%
7-Nov-19,135,134,135,130,745.75K,0.75%
6-Nov-19,134,137,137,133,160.19K,0.00%
5-Nov-19,134,140,140,133,1.30M,-4.29%
4-Nov-19,140,138,141,137,2.69M,2.19%
3-Nov-19,137,130,138,130,1.79M,4.58%
31-Oct-19,131,129,132,126,1.15M,3.97%
30-Oct-19,126,130,132,125,1.48M,-2.33%
29-Oct-19,129,116,133,116,8.79M,4.88%
28-Oct-19,123,116,125,114,4.37M,6.96%
27-Oct-19,115,114,128,114,3.88M,5.50%
24-Oct-19,109,105,109,103,1.75M,5.83%
23-Oct-19,103,107,107,102,372.00K,-4.63%
22-Oct-19,108,107,111,105,6.15M,8.00%
21-Oct-19,100,92,102,92,2.95M,6.38%
20-Oct-19,94,90,94,90,715.48K,3.30%
17-Oct-19,91,94,94,90,266.86K,-3.19%
16-Oct-19,94,92,94,92,4.42M,3.30%
15-Oct-19,91,92,92,88,0.34K,0.00%
14-Oct-19,91,91,92,90,438.64K,0.00%
13-Oct-19,91,86,91,85,163.11K,1.11%
10-Oct-19,90,91,91,87,11.43K,0.00%
9-Oct-19,90,87,90,87,16.08K,-2.17%
8-Oct-19,92,92,92,92,0.03K,2.22%
7-Oct-19,90,91,92,87,271.72K,0.00%
6-Oct-19,90,89,92,88,977.00K,2.27%
3-Oct-19,88,87,90,87,603.50K,1.15%
2-Oct-19,87,87,87,87,922.48K,1.16%
1-Oct-19,86,87,87,83,7.43K,4.88%
30-Sep-19,82,87,87,82,271.15K,-5.75%
29-Sep-19,87,86,87,82,1.01M,2.35%
26-Sep-19,85,85,86,83,116.25K,1.19%
25-Sep-19,84,86,86,84,63.01K,-2.33%
24-Sep-19,86,86,86,84,118.36K,0.00%
23-Sep-19,86,84,86,84,581.82K,2.38%
22-Sep-19,84,80,84,80,322.61K,0.00%
19-Sep-19,84,84,84,79,48.71K,5.00%
18-Sep-19,80,80,84,80,45.15K,-4.76%
17-Sep-19,84,84,84,81,40.11K,0.00%
16-Sep-19,84,84,84,82,239.13K,2.44%
15-Sep-19,82,81,83,81,189.79K,-2.38%
12-Sep-19,84,82,85,79,467.97K,0.00%
11-Sep-19,84,87,87,84,334.12K,-2.33%
10-Sep-19,86,85,87,83,649.30K,1.18%
9-Sep-19,85,84,86,83,382.20K,-1.16%
8-Sep-19,86,87,87,85,828.61K,1.18%
5-Sep-19,85,87,87,85,224.87K,-3.41%
4-Sep-19,88,88,88,86,318.59K,2.33%
3-Sep-19,86,87,87,85,628.19K,-1.15%
2-Sep-19,87,87,87,86,516.45K,0.00%
